0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
348.79977,349.33102,349.54977,348.65134,347.08102,345.53415,343.9482,342.5654,342.0654,341.77634,340.9404,339.7529,338.5732,337.15134,335.5576,334.0029,332.41696,330.6904,328.72946,326.58102,324.3857,322.26852,320.14352,318.0107,315.89352,313.61227,311.41696,309.9404,309.1826,308.77634,307.9404,305.95602,303.5107,301.6904,300.04196,298.45602,296.66696,294.58884,292.29196,289.85446,287.1982,284.5576,281.90915,279.5029,277.51852,275.72165,274.45602,273.2451,272.3154,271.29977,270.2529,269.22165,268.42477,267.83102,267.46384,266.92477,266.66696,267.09665,268.39352,270.15915,272.73727,275.59665,276.9951,275.40915,274.6982,275.22946,275.59665,275.58884,276.33884,278.4482,281.58102,284.6826,286.86227,287.83884,288.1826,288.40134,287.54196,286.4404,285.86227,286.29977,286.77634,287.15134,287.6904,288.76852,290.01852,290.83884,290.73727,290.28415,289.5107,288.35446,287.90134,287.5654,286.95602,285.42477,284.0029,283.53415,283.03415,282.22165,281.29196,280.60446,280.29196,279.8857,279.36227
346.4404,346.3779,346.5654,346.47165,345.70602,344.27634,342.1982,340.34665,339.09665,338.40915,338.42477,338.02634,337.5576,336.83884,335.58884,334.09665,332.33884,330.3701,328.34665,326.36227,324.33884,322.22165,319.8857,317.2529,314.5107,311.7451,309.77634,308.72165,308.20602,307.1357,305.22165,303.7529,302.2529,300.86227,299.3701,297.36227,294.95602,292.72165,290.59665,288.1201,285.22946,282.59665,280.4326,278.7451,277.48727,276.2607,275.08102,274.2607,273.4951,272.79196,271.90134,271.08884,270.36227,269.79196,269.40915,269.0029,269.0107,269.6826,271.15915,273.21384,275.58884,277.84665,279.65134,279.76852,278.61227,278.64352,279.3154,280.4326,281.08102,281.8857,283.8857,286.3232,288.0576,288.33102,287.8076,287.54196,287.65134,287.79196,287.83884,288.3154,288.78415,289.0576,289.46384,290.2451,291.40915,291.8701,291.84665,291.1279,289.77634,288.61227,287.79196,286.96384,286.1279,285.04196,283.98727,282.83102,281.2607,279.5732,278.1982,277.23727,276.48727,276.1357,275.90134
343.10446,343.72946,344.0029,343.79977,343.1201,342.01852,340.5654,339.02634,337.58102,336.15134,335.33102,336.23727,337.6982,336.6904,334.7529,332.65915,330.59665,328.6357,326.76852,324.89352,322.9326,320.6201,317.3857,313.9404,310.97946,309.01852,307.7451,306.16696,304.9404,304.0732,303.29977,302.41696,301.11227,299.27634,297.3154,295.17477,293.0107,290.70602,288.58102,286.54196,284.40134,282.23727,280.6279,279.47165,278.40915,277.11227,275.97946,275.29977,274.91696,274.34665,273.53415,272.76852,272.26852,271.90915,271.60446,271.4482,271.54977,272.02634,273.52634,275.85446,277.92477,280.0654,281.54977,281.90134,281.21384,280.5576,280.6201,281.17477,282.47165,283.7607,285.14352,286.90134,288.40915,288.3857,287.59665,287.3232,287.86227,288.92477,289.78415,290.29196,290.58102,290.96384,291.36227,291.91696,292.52634,292.47165,292.46384,292.35446,291.90915,291.29196,290.33884,289.02634,287.4951,285.95602,284.39352,282.40915,280.0732,277.96384,276.1357,274.4326,273.52634,273.39352,273.47946
339.3701,339.52634,339.9482,340.1982,340.01852,339.66696,338.51852,337.23727,335.79977,334.14352,332.3076,332.6904,335.28415,334.54196,332.46384,330.01852,327.53415,325.47165,323.08102,319.1201,314.86227,311.70602,308.5732,305.47165,303.0732,301.58102,301.33884,302.15915,302.23727,302.1904,301.58884,300.1826,298.40134,296.4404,294.45602,292.67477,290.65915,288.52634,287.03415,285.60446,284.0654,282.3857,280.98727,280.15915,279.20602,278.0029,277.08102,276.5732,276.40915,276.17477,275.2451,274.3779,273.96384,273.78415,273.6982,273.73727,274.11227,274.86227,276.5107,278.45602,280.1357,281.8076,283.21384,283.73727,283.45602,282.7607,282.09665,282.01852,282.6279,283.9482,285.2529,286.3076,287.95602,288.79977,288.3232,288.5107,289.40915,290.45602,291.08884,291.3076,291.54196,291.85446,292.3076,293.0732,293.7451,294.46384,294.6826,294.6201,294.1982,293.3779,292.27634,290.8076,288.91696,286.84665,284.66696,282.2451,279.53415,276.90134,274.52634,273.3701,272.9326,272.86227,272.71384
338.70602,337.8154,337.15134,336.5732,336.2451,335.83884,335.2451,334.54977,333.27634,332.0107,331.59665,331.0576,330.33102,329.01852,326.61227,324.34665,321.9951,319.15134,315.6982,312.3232,309.34665,306.3154,303.23727,300.72165,298.90134,297.47165,296.34665,295.5732,296.1279,297.65915,297.58102,296.58102,295.23727,293.8076,292.4326,290.9951,289.22165,287.52634,286.29977,285.15915,283.91696,282.70602,281.83102,281.0732,280.17477,279.22946,278.53415,278.15915,278.15915,277.96384,277.1279,276.2451,275.6982,275.4326,275.34665,275.5107,276.34665,277.77634,279.5107,281.1201,282.4482,283.58102,284.5107,285.09665,285.14352,284.33884,283.35446,282.9482,283.03415,283.47946,284.54196,285.42477,286.23727,287.02634,288.3154,289.8857,290.89352,291.3154,291.3232,291.0107,291.3857,292.35446,293.65915,294.9326,295.8154,296.29977,296.6201,296.41696,296.0576,295.2529,294.1201,292.59665,290.5029,288.0576,285.48727,282.73727,279.8857,277.2607,275.22946,273.7607,272.61227,272.29977,271.40915
339.08102,337.22165,335.8857,334.8701,334.0654,333.42477,332.8779,332.29977,331.65134,330.7451,329.48727,327.8076,325.6826,323.3232,321.36227,319.45602,317.26852,314.5732,311.6826,308.5732,305.26852,302.33102,299.76852,297.40134,295.3154,293.54196,292.1982,291.1357,290.8857,292.40915,293.1904,293.01852,292.3857,291.60446,290.73727,289.65915,288.40134,287.1826,286.22946,285.3076,284.35446,283.5732,282.97946,282.16696,281.3857,280.65915,280.1826,280.0107,279.97165,279.78415,279.3232,278.73727,278.3857,278.1982,277.9404,278.08884,278.9951,280.4482,282.02634,283.54196,284.7607,285.72946,286.47165,286.65915,286.54977,285.91696,284.70602,283.8701,283.60446,283.45602,283.5576,284.2607,284.71384,285.1279,286.1357,287.90134,290.04977,291.17477,290.70602,291.2529,292.29196,293.3779,294.5732,295.83884,296.8701,297.45602,297.83884,298.04196,297.58102,296.76852,295.6279,293.86227,291.70602,289.40134,286.97946,284.29196,280.95602,277.65134,274.97165,273.47165,272.4326,271.96384,271.65134
340.7607,338.04977,335.9404,334.4482,333.3232,332.39352,331.45602,330.46384,329.40915,327.97946,326.22165,324.2451,322.10446,319.98727,317.97946,315.95602,313.6279,311.33884,308.5732,305.1279,301.6904,298.51852,295.7607,293.42477,291.72165,290.41696,289.39352,288.61227,288.34665,289.41696,290.45602,290.45602,290.0107,289.35446,288.8076,288.26852,287.64352,287.0654,286.5107,285.8701,285.2451,284.65915,283.98727,283.17477,282.52634,282.04977,281.7451,281.48727,281.33884,281.1982,280.9951,280.8076,280.54977,280.3701,280.3154,280.5029,281.26852,282.41696,283.7529,285.3076,286.6826,287.6982,288.4404,288.36227,287.91696,287.2451,286.34665,285.36227,284.71384,284.29977,283.9951,284.04196,284.28415,285.03415,286.21384,287.0732,287.54977,287.45602,288.1904,289.6826,291.28415,292.8154,294.1982,295.67477,297.0029,297.79977,298.1904,298.09665,297.59665,296.72165,295.40915,293.70602,291.47946,288.91696,286.3076,283.4326,280.4482,277.8779,275.8154,274.4482,273.35446,272.65134,271.95602
342.72946,339.35446,336.4482,334.27634,332.6201,331.33884,329.9404,328.29196,326.5107,324.6279,322.61227,320.47165,318.29196,316.14352,314.0732,312.15134,310.21384,307.6357,304.4404,301.3232,298.34665,295.60446,293.15915,291.23727,290.0029,289.1826,288.4482,287.72946,287.41696,288.1982,289.5732,289.4404,289.0732,288.3857,287.79977,287.5107,287.28415,287.11227,286.9404,286.59665,286.10446,285.59665,284.8154,284.16696,283.72165,283.4404,283.04196,282.64352,282.3857,282.1826,281.96384,281.83884,281.47946,281.26852,281.41696,281.85446,282.79977,283.97165,285.20602,286.72165,288.16696,289.15915,289.86227,289.7607,289.08884,288.3154,287.52634,286.97946,286.1201,285.52634,285.15134,284.97165,285.26852,285.77634,286.52634,287.33884,287.6826,287.58102,287.3701,287.70602,288.7607,290.42477,292.10446,293.85446,295.1357,295.95602,296.40915,296.2607,295.6279,294.6357,293.3076,291.78415,290.21384,288.58102,286.5732,284.28415,281.78415,279.3779,277.26852,275.47165,274.10446,272.97165,271.9326
342.22946,338.9404,335.8857,333.21384,330.8779,328.9404,327.0107,324.8076,322.4951,320.1826,317.97946,316.0576,314.3857,312.86227,311.3701,309.6201,307.16696,304.1201,301.2607,298.6357,296.04196,293.60446,291.65134,290.04977,289.04977,288.61227,288.17477,287.6826,287.5576,288.72165,289.6826,289.61227,289.1826,288.5029,287.97165,287.6357,287.48727,287.6279,287.6357,287.40915,286.98727,286.47165,285.8076,285.28415,285.0029,284.67477,284.1357,283.6201,283.22946,282.9404,282.79977,282.58102,282.3076,282.1982,282.42477,282.97165,284.14352,285.5654,286.8857,288.0654,289.11227,289.9404,290.47165,290.4482,289.8701,289.29196,288.66696,288.04977,287.59665,287.03415,286.60446,286.6982,287.16696,287.54196,287.8154,288.0576,288.6982,289.21384,289.26852,289.26852,289.4326,289.8857,290.91696,292.8701,294.21384,295.23727,295.85446,295.7451,294.8701,293.7607,292.72165,291.76852,290.8857,289.71384,288.15134,286.2529,283.92477,281.3701,278.72165,276.3076,274.47946,273.21384,272.14352
340.5732,337.7529,335.04977,332.41696,329.90134,327.51852,325.20602,322.83102,320.3154,317.8701,315.70602,313.90134,312.54977,311.3076,309.65915,307.36227,304.54196,301.9404,299.40134,296.9326,294.67477,292.6826,291.09665,289.8232,288.95602,288.5107,288.33884,288.28415,288.6982,290.01852,290.4404,290.42477,289.92477,289.2451,288.6826,288.36227,288.29196,288.35446,288.54196,288.58102,288.3154,287.72165,287.0576,286.64352,286.35446,285.83884,285.1826,284.65134,284.20602,283.96384,283.84665,283.65134,283.35446,283.36227,283.6982,284.42477,285.79977,287.2529,288.45602,289.17477,289.52634,290.11227,290.5576,290.4951,290.22946,289.97946,289.6279,289.09665,288.61227,288.27634,288.4404,288.6826,288.98727,289.1201,289.14352,289.16696,289.65915,290.52634,291.09665,291.2607,291.33884,291.6201,292.0654,292.67477,293.58102,295.04977,295.9951,296.15915,295.65134,294.5029,293.41696,292.64352,291.72165,290.64352,289.3076,287.72165,285.92477,283.7529,281.22165,278.0107,275.5107,274.0029,272.8857
