0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
2.9062202,2.9362495,2.9695747,3.013398,3.0647895,3.1182563,3.1641548,3.1966255,3.2168891,3.2328804,3.2529,3.273896,3.293183,3.3179634,3.3510444,3.3854682,3.4211128,3.4591987,3.501191,3.543061,3.5755317,3.5946968,3.6070259,3.6149604,3.610932,3.6011665,3.5979927,3.601899,3.6209419,3.659394,3.7104194,3.7621772,3.8073432,3.8423774,3.8750923,3.9115913,3.945893,3.9732368,3.9983833,4.024873,4.0500193,4.077485,4.1097116,4.1407175,4.1680613,4.1944284,4.2184763,4.2383738,4.252412,4.25937,4.2624216,4.2655954,4.2692575,4.2747507,4.28415,4.298066,4.3177195,4.3399363,4.3538523,4.3523874,4.3321238,4.290498,4.254731,4.2295847,4.2155466,4.212983,4.218232,4.230317,4.2480173,4.2638865,4.273286,4.274873,4.2688913,4.256318,4.2415476,4.2341013,4.233247,4.2375193,4.2352,4.2185984,4.1923532,4.162202,4.1283884,4.0887156,4.0430613,3.9981391,3.9594429,3.9263618,3.8947456,3.8614204,3.822602,3.780854,3.744355,3.7194526,3.7004097,3.673188,3.6434028,3.6153266,3.586396,3.555268,3.5207222,3.4826362,3.444184
2.9915473,3.0219429,3.0536811,3.0931098,3.1372993,3.1839302,3.2231147,3.249604,3.2674263,3.2872016,3.3094184,3.3316352,3.3542182,3.3829048,3.4167182,3.4512641,3.4906929,3.5310981,3.5616157,3.5822456,3.5977485,3.607148,3.6130073,3.6203315,3.6269233,3.6322944,3.6397407,3.6498725,3.6691597,3.704682,3.7521675,3.7989204,3.8378608,3.869599,3.895478,3.9183052,3.9427192,3.9670112,3.9899604,4.0160837,4.0466013,4.0795603,4.1131296,4.141694,4.167817,4.1983347,4.233857,4.2654734,4.2879343,4.3005075,4.306245,4.310151,4.3140574,4.320649,4.330415,4.3424997,4.3580027,4.37729,4.3903513,4.3907175,4.372529,4.330781,4.292939,4.2643747,4.2415476,4.231782,4.230195,4.2359324,4.2502146,4.268647,4.2828074,4.2885447,4.2848825,4.273286,4.261323,4.252534,4.243989,4.2383738,4.2295847,4.2116404,4.188325,4.1634226,4.1351023,4.099702,4.053315,4.0035105,3.9589546,3.9205024,3.8859565,3.8517768,3.8141792,3.7715766,3.7298286,3.6985786,3.6726997,3.6469429,3.6232612,3.6028755,3.5806587,3.553437,3.520478,3.4819038,3.4412544
3.0754097,3.1044624,3.1330268,3.168061,3.2088325,3.2500923,3.2846382,3.310395,3.3263862,3.3475044,3.3783882,3.4068305,3.4325874,3.461518,3.4947212,3.530976,3.5675972,3.5938423,3.607148,3.6127632,3.6154487,3.6171577,3.617524,3.6215522,3.6292427,3.6379097,3.650483,3.6705024,3.697602,3.7314155,3.768891,3.8044136,3.8360298,3.866059,3.893525,3.9168403,3.9433296,3.9733589,3.9998481,4.02707,4.0574656,4.089692,4.120576,4.146699,4.1737986,4.2122507,4.257783,4.297456,4.324189,4.33957,4.349946,4.356782,4.3594675,4.3608103,4.3642282,4.3702097,4.383027,4.4007273,4.412324,4.410371,4.3908396,4.3468943,4.3089304,4.2879343,4.270112,4.258271,4.251313,4.249238,4.2538767,4.264985,4.2792673,4.290986,4.2917185,4.2834177,4.2745066,4.265107,4.25229,4.237275,4.219575,4.198945,4.17624,4.1524363,4.125825,4.0935984,4.052705,4.0036325,3.9519966,3.905854,3.867524,3.831025,3.7925727,3.7536323,3.713105,3.6774604,3.6466987,3.6221626,3.6022651,3.5839546,3.5635688,3.5375679,3.50644,3.4695747,3.4306343
3.157807,3.183686,3.2088325,3.2384956,3.2730415,3.3084419,3.3392036,3.3639839,3.383393,3.4082954,3.4466255,3.4860542,3.516816,3.541352,3.5686958,3.5977485,3.6220405,3.635224,3.6412055,3.6466987,3.6482856,3.6479194,3.645478,3.6415718,3.6375434,3.6376655,3.650849,3.6737983,3.7041938,3.7371528,3.7697456,3.7992866,3.8291938,3.8610542,3.8913276,3.9186714,3.9512641,3.9899604,4.024873,4.0538034,4.078828,4.107148,4.138032,4.1650095,4.1961374,4.240327,4.2885447,4.3296824,4.3545847,4.3681345,4.3872995,4.403535,4.4111032,4.4118357,4.4101267,4.410859,4.417939,4.428315,4.429536,4.419038,4.3954782,4.348359,4.3103952,4.2931833,4.2831736,4.275483,4.2688913,4.263276,4.2602243,4.258149,4.2571726,4.2660837,4.271577,4.26645,4.2570505,4.2470407,4.233857,4.216523,4.1982126,4.179658,4.1600046,4.1387644,4.114106,4.0833445,4.046479,4.0004587,3.9451606,3.8909614,3.8475044,3.8097847,3.7708442,3.7297065,3.688691,3.6526802,3.6206977,3.5945747,3.5749214,3.5564888,3.5351264,3.5092475,3.4782417,3.4430854,3.407807
3.232148,3.258149,3.2813423,3.308808,3.3405464,3.3699653,3.395356,3.4190376,3.4429634,3.4742134,3.5182807,3.560517,3.587983,3.6045845,3.6202095,3.640229,3.6604927,3.6694038,3.671601,3.673066,3.671479,3.6705024,3.6702583,3.669892,3.6656196,3.6650093,3.675141,3.6966255,3.725434,3.7502143,3.7753608,3.8040473,3.8356636,3.8691108,3.9017036,3.9347847,3.9750679,4.0213327,4.061982,4.091279,4.115937,4.139619,4.164033,4.1896677,4.2227488,4.2657175,4.311494,4.349824,4.3715525,4.383271,4.4031687,4.4258738,4.4447947,4.4546824,4.4568796,4.4570017,4.4562693,4.4500437,4.436494,4.4152536,4.3875437,4.3424997,4.309907,4.2931833,4.2829294,4.2797556,4.2782907,4.2745066,4.268281,4.258271,4.2399607,4.2323923,4.2331247,4.2261667,4.216035,4.205903,4.1960154,4.1840525,4.171357,4.1597605,4.146455,4.1270456,4.0994577,4.063447,4.0246286,3.9837348,3.9299018,3.8704536,3.8202827,3.779023,3.7397163,3.6996772,3.6608589,3.626191,3.5956733,3.5699165,3.5486763,3.5285347,3.5043647,3.4758003,3.4443061,3.4108589,3.3779
3.287812,3.327729,3.3545845,3.3769233,3.398896,3.4235542,3.4490669,3.4762886,3.5068061,3.5424507,3.581147,3.614228,3.634858,3.6458442,3.6571968,3.6723335,3.6873481,3.6916206,3.6860054,3.683808,3.6873481,3.6917427,3.6966255,3.7013862,3.704682,3.7073677,3.716645,3.7350776,3.7544868,3.7725532,3.79477,3.8249214,3.860932,3.9001167,3.9399116,3.9816597,4.0260935,4.0695505,4.105317,4.1304636,4.1514597,4.16916,4.1874704,4.211396,4.242158,4.2817087,4.32541,4.362153,4.383271,4.395234,4.4131784,4.438203,4.4604197,4.473481,4.4793406,4.479829,4.4704294,4.452729,4.429658,4.401582,4.367524,4.320649,4.2915964,4.275239,4.2607126,4.2550974,4.2588816,4.2637644,4.2635202,4.254731,4.2309275,4.207734,4.198945,4.188691,4.1737986,4.1601267,4.1509714,4.1475534,4.143281,4.137788,4.127534,4.104707,4.070771,4.0295115,3.9844673,3.9402778,3.8926704,3.838349,3.7835395,3.7367866,3.6967475,3.659516,3.6266792,3.59665,3.5683296,3.5437934,3.5208442,3.4972847,3.4706733,3.439057,3.407685,3.3787544,3.352021
3.3273628,3.379975,3.4142768,3.435273,3.4499214,3.4673774,3.4904487,3.5174263,3.548188,3.5838325,3.6182563,3.6464546,3.6686714,3.6899116,3.7085884,3.7173774,3.718476,3.707856,3.697602,3.7013862,3.7138374,3.726899,3.7382514,3.7486274,3.7560737,3.7608345,3.7699897,3.7847602,3.8014839,3.8212593,3.844941,3.8766792,3.9187934,3.9662788,4.0120554,4.0542917,4.091035,4.120942,4.1454782,4.1648874,4.1825876,4.1995554,4.2187204,4.24228,4.271943,4.3095407,4.3511667,4.3871775,4.4084177,4.419648,4.433442,4.4518747,4.469575,4.4812937,4.4864206,4.4841013,4.471528,4.451997,4.4275827,4.3957224,4.349824,4.2950144,4.259858,4.238618,4.2204294,4.210786,4.213105,4.2237253,4.233613,4.232148,4.2138376,4.187104,4.171235,4.155732,4.1336374,4.1148386,4.104707,4.1045847,4.105317,4.0992136,4.086274,4.0639353,4.0293894,3.9849555,3.9341743,3.8836372,3.8343208,3.7854927,3.7344673,3.6874702,3.6486518,3.6178901,3.591767,3.567231,3.5418403,3.5182807,3.4964302,3.4726264,3.4432075,3.4098823,3.3775337,3.3498237,3.3256538
3.3638618,3.41623,3.4537055,3.4738472,3.4851997,3.4949653,3.511933,3.5392768,3.574189,3.615937,3.6565864,3.6893013,3.7173774,3.7420356,3.7563179,3.7555854,3.7415473,3.723725,3.7170112,3.7277534,3.7510688,3.7742622,3.7928169,3.8101509,3.8211372,3.8238227,3.8304145,3.84665,3.8681343,3.8931587,3.9191597,3.9497993,3.990815,4.042573,4.0939646,4.1316843,4.1560984,4.1702585,4.181245,4.193452,4.2104197,4.232148,4.2572947,4.282563,4.311738,4.3456736,4.382539,4.41562,4.4361277,4.4477243,4.4570017,4.4673777,4.47873,4.4876413,4.492402,4.4895945,4.4772654,4.4565134,4.4286814,4.3921824,4.3404245,4.278413,4.233247,4.2015085,4.178071,4.1665964,4.167695,4.1790476,4.1941843,4.196992,4.185151,4.164155,4.1427927,4.1231394,4.1004343,4.0800486,4.067109,4.061982,4.059907,4.051118,4.0350046,4.0121775,3.9766548,3.9292915,3.8755805,3.8222358,3.7708442,3.7240913,3.6811225,3.6413276,3.6069038,3.581147,3.5590522,3.5350044,3.5097358,3.4851997,3.4628608,3.4391792,3.411103,3.3802192,3.3489692,3.32248,3.3008735
3.3984077,3.4469917,3.48227,3.503144,3.5124214,3.516938,3.5315864,3.5623481,3.6050727,3.654145,3.6982124,3.7343452,3.761933,3.7745063,3.7702339,3.7561958,3.746064,3.744233,3.751435,3.7708442,3.8019722,3.831269,3.857148,3.879731,3.8924263,3.8948677,3.8997505,3.916352,3.9410102,3.9672554,3.992646,4.021699,4.062104,4.113618,4.162324,4.1983347,4.216401,4.2204294,4.2207956,4.227998,4.2449656,4.2693796,4.295869,4.320405,4.3438425,4.3694773,4.400483,4.431611,4.4535837,4.4670115,4.474702,4.479951,4.485078,4.4893503,4.4914255,4.487275,4.471406,4.44394,4.407319,4.365571,4.3141794,4.256196,4.209565,4.1718454,4.1426706,4.125947,4.1250925,4.13437,4.146577,4.148652,4.1393747,4.120454,4.096406,4.073457,4.053193,4.0348825,4.0187693,4.0049753,3.9950874,3.9825141,3.964814,3.942475,3.907563,3.8595893,3.806977,3.7533882,3.7015083,3.657563,3.623017,3.5923774,3.5629585,3.5370796,3.5132759,3.4854438,3.457978,3.433808,3.412812,3.3914497,3.3672798,3.3421333,3.3167427,3.2944038,3.275605
3.4286811,3.4681098,3.4982612,3.5193794,3.5301216,3.5372016,3.5505073,3.5818794,3.6303413,3.683808,3.7309272,3.766816,3.7830513,3.7784126,3.7626655,3.7498481,3.7533882,3.7698677,3.7941597,3.824189,3.860566,3.9009712,3.9378364,3.9626167,3.9748237,3.97519,3.9764106,3.9865425,4.0037546,4.0274363,4.050996,4.075532,4.112153,4.158906,4.2050486,4.242646,4.2657175,4.2741404,4.2704782,4.2687693,4.276826,4.2934275,4.31186,4.3283396,4.346284,4.3714304,4.4029245,4.4338083,4.456147,4.467866,4.467866,4.4668894,4.473237,4.476777,4.475312,4.465913,4.443574,4.406953,4.359956,4.3139353,4.271943,4.2330027,4.197358,4.1602488,4.122651,4.094331,4.084077,4.084687,4.0854197,4.083955,4.073823,4.056367,4.034272,4.013032,3.9937446,3.9740913,3.9537055,3.9331977,3.9153755,3.900605,3.8829048,3.8604438,3.8288276,3.7875679,3.7414253,3.6897895,3.6387641,3.598603,3.5696723,3.5442817,3.5191352,3.4936225,3.4661567,3.4367378,3.409394,3.3877876,3.369477,3.3505561,3.3307807,3.312104,3.2919624,3.2718208,3.2526557
