-1.015;-0.727;-0.542;-0.180;-0.029;0.093;0.125;-0.127;-0.352;-0.404;-0.330;-0.202;-0.342;-0.439;-0.339;-0.277;-0.184;-0.303;-0.530;-0.643;-0.533;-0.354;0.274;-0.415;-1.330;-0.554;-0.543;-0.365;-0.489;-0.856;-1.292;-1.674;-1.732;-1.811;-1.724;-1.376;-1.057;-0.901;-0.994;-1.026;-0.995;-0.926;-0.926;-1.054;-1.092;-1.059;-0.899;-0.669;-0.333;-0.029;0.300;0.546;0.684;0.696;0.696;0.847;1.349;1.771;2.228;2.295;2.009;2.218;2.332;2.557;2.400;2.007;2.012;2.411;3.006;2.961;2.739;2.914;3.000;3.177;3.410;3.614;3.798;3.987;4.168;4.440;4.463;4.427;4.533;4.459;4.379;4.557;4.542;4.551;4.610;4.672;4.794;4.636;4.349;4.293;4.166;4.256;4.346;4.202;4.224;4.438;4.972;4.586;4.572
-1.084;-0.785;-0.539;-0.127;0.019;0.106;0.105;-0.052;-0.358;-0.370;-0.236;-0.130;-0.186;-0.369;-0.311;-0.263;-0.170;-0.164;-0.599;-0.696;-0.633;-0.573;-0.037;-0.457;-0.975;-0.647;-0.515;-0.332;-0.408;-0.749;-1.336;-1.726;-1.823;-1.845;-1.757;-1.426;-1.051;-0.926;-0.927;-1.012;-0.943;-0.868;-0.891;-0.887;-1.089;-1.052;-0.896;-0.694;-0.500;-0.078;0.242;0.544;0.672;0.693;0.709;0.920;1.355;1.800;2.171;2.353;2.025;2.331;2.493;2.672;2.535;2.407;2.024;2.411;2.950;3.090;2.878;3.074;3.023;3.127;3.488;3.726;3.925;4.106;4.260;4.494;4.616;4.643;4.716;4.601;4.542;4.649;4.615;4.632;4.729;4.686;4.841;4.687;4.440;4.354;4.213;4.278;4.380;4.284;4.270;4.407;5.049;4.561;4.681
-1.180;-0.880;-0.537;-0.205;0.037;0.099;0.105;-0.041;-0.255;-0.355;-0.183;-0.093;-0.112;-0.213;-0.279;-0.223;-0.174;-0.149;-0.496;-0.789;-0.748;-0.702;-0.139;0.112;-0.723;-0.671;-0.469;-0.346;-0.294;-0.734;-1.394;-1.825;-1.835;-1.851;-1.781;-1.433;-1.107;-0.942;-0.935;-0.931;-0.769;-0.785;-0.811;-0.846;-1.057;-1.048;-0.944;-0.698;-0.463;-0.257;0.163;0.432;0.703;0.714;0.756;0.938;1.384;1.776;2.227;2.549;2.200;2.453;2.758;2.827;2.742;2.408;1.897;2.470;3.105;3.249;2.977;3.106;3.167;3.148;3.441;3.719;4.069;4.204;4.304;4.556;4.733;4.703;4.849;4.733;4.661;4.763;4.723;4.850;4.777;4.790;4.917;4.762;4.530;4.440;4.305;4.268;4.461;4.352;4.277;4.410;4.889;4.530;4.787
-1.263;-0.926;-0.530;-0.199;-0.018;0.096;0.103;-0.031;-0.221;-0.260;-0.139;-0.053;-0.020;-0.166;-0.259;-0.208;-0.167;-0.179;-0.550;-0.810;-1.013;-0.863;-0.350;-0.450;-0.762;-0.621;-0.453;-0.376;-0.314;-0.483;-1.417;-1.861;-1.879;-1.820;-1.811;-1.438;-1.118;-0.975;-0.916;-0.902;-0.644;-0.707;-0.737;-0.789;-0.978;-1.077;-0.918;-0.728;-0.507;-0.241;0.062;0.408;0.669;0.733;0.748;0.883;1.385;1.822;2.262;2.649;2.472;2.625;2.976;3.144;2.834;2.643;1.790;2.545;3.095;3.285;3.079;3.225;3.221;3.377;3.579;3.772;4.059;4.261;4.430;4.669;4.753;4.922;4.936;4.911;4.849;4.959;4.814;4.908;4.873;4.830;4.932;4.822;4.572;4.519;4.355;4.320;4.494;4.410;4.321;4.389;4.970;5.185;4.874
-1.683;-0.951;-0.555;-0.234;-0.053;0.058;0.151;0.008;-0.173;-0.188;-0.153;0.001;0.021;-0.108;-0.189;-0.211;-0.171;-0.223;-0.609;-0.904;-1.104;-1.056;-0.612;-0.710;-0.779;-0.571;-0.459;-0.404;-0.352;-0.502;-1.074;-1.914;-1.901;-1.856;-1.762;-1.546;-1.156;-1.017;-0.936;-0.803;-0.542;-0.550;-0.578;-0.715;-0.913;-1.020;-0.923;-0.745;-0.495;-0.272;-0.069;0.338;0.701;0.728;0.814;0.912;1.379;1.794;2.348;2.642;2.611;2.679;2.377;2.525;3.156;2.397;1.507;2.522;2.761;3.300;3.251;3.392;3.407;3.594;3.670;3.789;4.158;4.308;4.492;4.789;4.912;4.925;5.142;5.074;4.992;5.071;4.969;5.005;4.966;4.911;5.006;4.998;4.685;4.581;4.427;4.361;4.479;4.463;4.341;4.382;5.023;5.193;4.992
-1.778;-1.237;-0.579;-0.284;-0.090;0.045;0.167;0.062;-0.024;-0.121;-0.102;0.031;0.042;-0.072;-0.162;-0.209;-0.228;-0.274;-0.685;-0.964;-1.218;-1.288;-1.018;-0.962;-0.868;-0.507;-0.449;-0.463;-0.396;-0.482;-1.074;-1.797;-1.962;-1.853;-1.746;-1.482;-1.251;-1.044;-0.932;-0.684;-0.434;-0.397;-0.501;-0.637;-0.837;-0.958;-0.975;-0.754;-0.523;-0.243;-0.069;0.117;0.667;0.823;0.869;1.042;1.356;1.472;2.307;2.639;2.729;2.854;2.452;2.312;3.460;1.485;1.685;2.524;2.416;3.424;3.441;3.548;3.596;3.645;3.814;3.968;4.225;4.312;4.605;4.836;4.952;5.094;5.094;5.162;5.218;5.168;5.056;5.072;5.012;4.997;5.037;5.021;4.827;4.626;4.485;4.402;4.503;4.558;4.358;4.393;5.040;5.192;4.506
-1.878;-1.306;-0.941;-0.358;-0.131;0.050;0.193;0.181;0.032;-0.060;-0.052;0.051;0.072;-0.067;-0.188;-0.225;-0.272;-0.244;-0.787;-1.100;-1.270;-1.390;-1.329;-1.246;-0.853;-0.494;-0.466;-0.493;-0.382;-0.491;-1.054;-1.778;-2.076;-1.950;-1.739;-1.445;-1.159;-1.026;-0.927;-0.677;-0.366;-0.268;-0.390;-0.617;-0.809;-0.934;-0.975;-0.855;-0.536;-0.272;-0.022;0.069;0.472;0.754;0.924;1.161;1.454;1.560;2.332;2.654;2.775;3.108;3.961;2.154;3.738;0.077;2.279;2.870;2.295;3.381;3.601;3.668;3.766;3.373;4.167;4.107;4.457;4.479;4.538;4.968;5.119;5.087;5.303;5.295;5.292;5.283;5.203;5.187;5.122;5.065;5.102;5.054;4.934;4.805;4.525;4.498;4.542;4.609;4.455;4.402;5.012;5.193;4.669
-1.936;-1.384;-1.020;-0.618;-0.170;0.059;0.212;0.222;0.155;-0.019;-0.002;0.063;0.063;-0.001;-0.208;-0.276;-0.330;-0.300;-0.605;-1.105;-1.317;-1.452;-1.516;-1.578;-0.752;-0.520;-0.473;-0.462;-0.455;-0.445;-0.861;-1.738;-2.114;-2.056;-1.778;-1.399;-1.065;-0.935;-0.875;-0.559;-0.272;-0.185;-0.279;-0.484;-0.650;-0.855;-0.928;-0.812;-0.646;-0.260;-0.012;0.136;0.376;0.730;0.612;0.925;1.425;1.598;2.099;2.744;2.416;3.181;4.194;3.770;3.490;-0.715;3.408;3.431;2.254;3.362;3.760;3.844;3.843;3.887;4.107;4.057;4.332;4.503;4.535;5.019;5.170;5.450;5.351;5.391;5.438;5.415;5.261;5.283;5.200;5.146;5.117;5.105;4.980;4.852;4.651;4.525;4.578;4.639;4.507;4.442;4.970;5.208;4.808
-1.999;-1.543;-1.117;-0.693;-0.396;0.053;0.223;0.276;0.197;0.080;0.017;0.057;0.074;-0.020;-0.173;-0.317;-0.362;-0.375;-0.702;-0.996;-1.296;-1.470;-1.717;-1.838;-0.663;-0.538;-0.501;-0.453;-0.380;-0.275;-0.687;-1.481;-2.051;-1.959;-1.883;-1.436;-1.001;-0.760;-0.473;-0.509;-0.273;-0.022;-0.226;-0.435;-0.489;-0.836;-0.910;-0.787;-0.608;-0.384;0.066;0.115;0.348;0.564;0.670;0.959;1.248;1.633;1.603;2.680;2.022;3.268;4.624;4.018;3.467;-1.042;3.908;3.850;2.320;2.848;4.037;3.998;3.983;4.122;2.708;3.581;3.303;4.648;4.117;4.612;5.508;5.467;5.533;5.538;5.550;5.479;5.407;5.358;5.318;5.257;5.224;5.146;5.035;4.880;4.692;4.597;4.636;4.652;4.544;4.479;4.606;5.185;4.970
-2.372;-1.644;-1.193;-0.782;-0.444;-0.082;0.234;0.294;0.222;0.167;0.073;0.069;0.113;-0.017;-0.179;-0.354;-0.413;-0.410;-0.710;-0.977;-1.191;-1.461;-1.909;-1.962;-0.438;-0.475;-0.474;-0.373;-0.282;-0.213;-0.301;-1.201;-1.313;-1.648;-1.788;-1.566;-0.864;-0.568;-0.260;-0.335;-0.294;-0.003;-0.197;-0.406;-0.448;-0.648;-0.816;-0.790;-0.567;-0.343;0.014;0.249;0.237;0.672;0.962;1.133;0.832;1.283;1.402;2.780;1.880;3.560;4.696;4.444;3.793;-0.162;3.526;3.411;2.493;2.396;3.717;4.116;3.995;4.163;3.377;4.036;3.776;4.862;3.194;4.135;5.271;5.678;5.531;5.545;5.672;5.657;5.500;5.556;5.369;5.325;5.283;5.149;5.069;4.922;4.753;4.664;4.686;4.716;4.609;4.504;4.589;5.175;5.117
-2.475;-1.941;-1.300;-0.943;-0.489;-0.091;0.165;0.300;0.255;0.203;0.092;0.046;0.115;-0.023;-0.203;-0.375;-0.457;-0.485;-0.736;-0.940;-1.160;-1.286;-2.043;-1.893;-0.295;-0.439;-0.317;-0.275;-0.202;-0.053;-0.193;-0.541;-0.846;-1.178;-1.488;-1.426;-1.069;-0.370;-0.024;-0.185;-0.280;-0.009;-0.204;-0.422;-0.394;-0.606;-0.784;-0.689;-0.446;-0.286;0.035;0.228;0.379;0.816;1.181;1.254;0.806;0.922;1.211;2.690;1.784;2.315;4.123;5.340;3.499;0.951;1.203;2.118;2.161;2.418;3.317;4.491;3.576;4.052;3.624;3.134;3.899;5.406;3.557;4.554;3.642;5.510;5.843;5.714;5.759;5.731;5.742;5.574;5.508;5.403;5.409;5.266;5.112;4.995;4.781;4.735;4.761;4.754;4.632;4.538;4.593;4.965;5.224
-2.519;-2.006;-1.570;-1.004;-0.530;-0.124;0.141;0.297;0.281;0.230;0.123;0.080;0.107;-0.021;-0.249;-0.400;-0.495;-0.578;-0.775;-0.972;-1.128;-1.179;-1.515;-1.653;-0.239;-0.339;-0.159;-0.163;-0.100;-0.008;-0.054;-0.345;-0.458;-0.708;-1.077;-1.184;-1.043;-0.169;0.134;-0.045;-0.042;0.039;-0.128;-0.340;-0.369;-0.430;-0.691;-0.469;-0.463;-0.096;-0.063;0.302;0.444;0.635;1.064;1.151;0.760;0.812;1.207;2.127;1.597;2.436;3.788;5.948;4.010;1.613;1.582;2.298;2.413;1.610;3.517;4.299;4.002;4.036;2.952;2.413;3.567;5.043;4.204;4.322;2.391;5.433;5.821;5.814;5.796;5.952;5.870;5.931;5.540;5.469;5.428;5.308;5.220;5.016;4.845;4.790;4.816;4.805;4.704;4.561;4.601;4.889;5.169
